개설영역,학년,학수번호,교과목명,학점,시간,담당교수,강의시간/강의실,비고,강의평점
전공,2,M01207101,머신러닝,3,3,최재걸,월 4 5 6 (0310),전필,0.0
전공,2,M01202101,자료구조와알고리즘,3,3,장원제,목 4 5 6 (2515),,0.0
전공,2,M01201101,통계모델링,3,3,장혜진,수 4 5 6 (2515),,0.0
전공,3,M01301101,비정형데이터마이닝,3,3,장혜진,화 4 5 6 (2515),,0.0
이중(부)전공,2,V41010101,고급파이썬프로그래밍,3,3,문영인,목 4 5 6 (2302),선수과목-컴퓨팅사고 또는 파이썬프로그래밍(기초),4.37
이중(부)전공,2,V41010102,고급파이썬프로그래밍,3,3,문영인,목 1 2 3 (2302),선수과목-컴퓨팅사고 또는 파이썬프로그래밍(기초),4.37
이중(부)전공,2,V41002201,컴퓨터수학,3,3,김영란,화 4 5 6 (0513),,2.59
이중(부)전공,2,V41002202,컴퓨터수학,3,3,김영란,화 7 8 9 (0513),,2.59
이중(부)전공,2,T07201201,컴퓨터논리개론,3,3,김영란,목 7 8 9 (0311),,2.46
이중(부)전공,3,V41007201,데이터사이언스,3,3,김재빈,수 1 2 3 (5405),,0.0
이중(부)전공,3,V41008201,알고리즘,3,3,신찬수,수 7 8 9 (5308),,4.8
이중(부)전공,3,V41009201,운영체제,3,3,임승호,목 1 2 3 (5309),,3.0
이중(부)전공,4,T02253601,웹프로그래밍,3,3,고석훈,월 1 2 3 (0512),,2.73
이중(부)전공,4,V41020101,인공지능,3,3,김재빈,목 4 5 6 (5308),,4.6
이중(부)전공,4,T07403201,종합설계,3,3,고석훈,월 7 8 9 (0515),,2.0
이중(부)전공,2,V41012201,Business AI 개론,3,3,김길래,월 7 8 9 (0516),*교차수업,4.0
이중(부)전공,2,V41034201,비지니스인공지능수학,3,3,이근섭,목 1 2 3 (5208),*교차수업,0.0
이중(부)전공,3,V41023201,Business AI 사례연구,3,3,신진호,화 4 5 6 (5208),*교차수업,4.0
이중(부)전공,4,V41035101,비즈니스시계열분석,3,3,이용웅,수 4 5 6 (5208),*교차수업,0.0
전공,2,M02202201,금융회귀분석,3,3,이선순,월 4 5 6 (0514),,0.0
전공,2,M02201101,데이터구조,3,3,안민정,금 7 8 9 (0306),,0.0
전공,2,M02203101,파이썬통계학습,3,3,공형우,목 4 5 6 (0212),,0.0
전공,3,M02301101,데이터마이닝,3,3,공형우,화 7 8 9 (0305),,0.0
전공,3,M02304101,빅데이터분석,3,3,안민정,금 4 5 6 (0305),,0.0
전공,3,M02302101,빅데이터시각화,3,3,이선순,월 7 8 9 (0514),,0.0
전공,1,P05104101,GBT Special Lecture,1,1,이경율,목 10 (2201),"[1전공,이중,부]",5.0
전공,1,D01205A01,회계원리,3,3,김문현,월 1 2 3 (4403),"전필,[1전공,이중,부]",4.81
전공,1,D01205A02,회계원리,3,3,김문현,월 4 5 6 (4403),"전필,[1전공,이중,부]",4.81
전공,1,D01205A03,회계원리,3,3,이윤기,화 4 5 6 (4403),"전필,[1전공,이중,부]",4.72
전공,1,D01205A04,회계원리,3,3,이윤기,화 7 8 9 (4403),"전필,[1전공,이중,부]",4.72
전공,2,P05209101,AI를위한기초알고리즘,3,3,배주호,수 4 5 6 (4207),"이공계 수강제한, [1전공,이중,부]",4.3
전공,2,P05208101,객체지향프로그래밍,3,3,한영진,수 4 5 6 (4212),"이공계 수강제한, [1전공,이중,부]",2.63
전공,2,P05201101,데이터구조,3,3,이근섭,목 7 8 9 (4207),"이공계 수강제한, [1전공,이중,부]",4.5
전공,2,D10405701,마케팅관리,3,3,한상식,목 7 8 9 (4403),"[1전공,이중,부]",4.03
전공,2,D10405702,마케팅관리,3,3,전종근,화 1 2 3 (4403),"[1전공,이중,부]",2.41
전공,2,P05101201,비즈니스영작과발표,3,3,Terrill Reid McLain,수 1 2 3 (4415),"원어,[1전공,이중,부]",3.0
전공,2,P05101202,비즈니스영작과발표,3,3,Terrill Reid McLain,목 4 5 6 (4415),"원어,[1전공,이중,부]",0.0
전공,3,D03467501,국제경영전략,3,3,이경율,목 1 2 3 (4403),"[1전공,이중,부]",0.0
전공,3,D03467502,국제경영전략,3,3,이경율,목 4 5 6 (4403),"[1전공,이중,부]",5.0
전공,3,P01309201,국제마케팅,3,3,전종근,월 4 5 6 (4418),"[1전공,이중,부]",3.0
전공,3,P05312201,글로벌혁신및기업가정신,3,3,Tae Young Choi,화 4 5 6 (4207),"원어,[1전공,이중,부]",3.0
전공,3,P01459301,다국적기업론,3,3,현재훈,화 7 8 9 (4411),"[1전공,이중,부], 경상대 전학과",3.0
전공,3,P05304201,데이터베이스,3,3,배주호,수 7 8 9 (4207),"이공계 수강제한, [1전공,이중,부]",4.75
전공,3,P05311101,디지털마케팅실습,3,3,조명환,목 7 8 9 (2502),"[1전공,이중,부]",4.0
전공,3,P05309101,빅데이터분석,3,3,서성현,금 4 5 6 (0213),"이공계 수강제한, [1전공,이중,부]",0.0
전공,3,P05308201,소셜콘텐츠분석,3,3,이정,목 1 2 3 (4207),"[1전공,이중,부]",3.38
전공,3,P05307101,인적자원관리,3,3,최누리,수 4 5 6 (2214),"[1전공,이중,부]",4.17
전공,4,D03455201,IT와경영전략,3,3,김병초,화 4 5 6 (4404),"[1전공,이중,부]",2.77
전공,4,P05412101,비즈니스머신러닝,3,3,이근섭,월 1 2 3 (4207),"이공계 수강제한, [1전공,이중,부]",0.0
전공,4,P05406201,졸업프로젝트실습(캡스톤디자인),3,3,배주호,수 10 11 12 (4403),"전필,[GBT 1전공]",3.75
전공,2,I12201101,Computer Mathematics,3,3,서성현,금 1 2 3 (0213),전필,1.5
전공,2,I12202101,Computer Programming,3,3,김은경,수 7 8 9 (0212),,5.0
전공,3,I12301101,Algorithm,3,3,김희철,화 7 8 9 (0213),,5.0
전공,3,I12302101,Data Science,3,3,손기락,목 1 2 3 (0212),융인대외 수강제한,0.0
전공,3,I12303101,Web and UI Programming,3,3,서성현,금 7 8 9 (0212),,1.0
전공,4,I12402101,Game Programming,3,3,박민규,금 1 2 3 (0212),,0.0
전공,2,N01205201,TESOL듣기말하기지도법,3,3,손은미,월 7 8 9 (1402),,2.63
전공,3,N01398101,IT활용영어교육,3,3,이정아,월 1 2 3 (1402),,3.67
전공,3,N01308101,TESOL현장실습,2,2,최호성,목 1 2 (1410),,5.0
전공,3,N01386101,영어문장연구,3,3,김다정,수 1 2 3 (1402),,0.0
전공,3,A01398401,영어사,3,3,박수진,수 4 5 6 (0413),,4.78
전공,3,N01347101,외국어습득론,3,3,김지현,화 4 5 6 (0306),원어,4.84
전공,4,N01412101,어린이영어교육,3,3,이정아,월 4 5 6 (1402),,3.43
전공,2,I10204201,Imagination Practice,3,3,김세익,금 1 2 3 (0504),,3.0
전공,2,I10201101,Korean Wave & Contents Industries,3,3,이지이,금 4 5 6 (0514),,0.0
전공,3,I10301101,Game Planning & Criticism,3,3,신정아,월 1 2 3 (0509),,4.67
전공,3,I10302101,Web-contents Decoding Practice,3,3,김영진,화 4 5 6 (0403),,0.0
전공,4,I10401101,Game Development & Video Making Practice,3,3,곽효민,월 1 2 3 (0505),,0.0
전공,4,I10402101,Korean Wave & Exchanging Global Culture,3,3,조영한,월 7 8 9 (0505),,0.0
전공,1,T04103901,이산수학,3,3,한희일,월 7 8 목 3 (5206),정보통신공학과 우선 수강,4.8
전공,1,T04103902,이산수학,3,3,정유진,화 3 목 1 2 (0214),"컴퓨터공학부 1학년만 신청 가능, 컴퓨터프로그래밍(교양, U72207401) 신청",1.95
전공,1,T04103903,이산수학,3,3,윤일동,화 1 2 목 3 (0310),"컴퓨터공학부 1학년만 신청 가능, 컴퓨터프로그래밍(교양, U72207402) 신청",3.83
전공,1,T04103904,이산수학,3,3,정유진,화 1 2 목 3 (0214),"컴퓨터공학부 타학년 우선 신청, 타전공(이중전공 및 부전공 포함)은 전체날만 신청 가능",1.98
전공,2,T01222201,오픈소스SW,3,3,Ikram Syed,금 1 2 3 (5405),"원어,정보통신공학과 우선 수강",0.0
전공,2,T01222202,오픈소스SW,3,3,전병환,수 7 8 금 5 (5405),"컴퓨터공학부 2학년 우선 신청, 컴퓨터공학부 타학년과 타전공(이중전공 및 부전공 포함)은 전체날만 신청 가능",3.77
이중(부)전공,2,C03303102,P.R의이해,3,3,서미라,화 4 5 6 (0402),전필,3.76
이중(부)전공,2,C03301102,광고의이해,3,3,오혜라,목 4 5 6 (0518),전필,5.0
이중(부)전공,2,C03469101,소비자데이터프로세싱,3,3,오혜라,목 7 8 9 (0212),실습 교과목,0.0
이중(부)전공,4,C03489102,공공브랜딩,3,3,이효복,화 7 8 9 (0512),,5.0
이중(제2),3,V43221201,과학교과교육론,3,3,윤정현,수 1 2 3 (2404-1),,0.0
이중(제2),3,V43504101,과학논리및논술,2,2,윤정현,금 3 4 (2404-1),,0.0
이중(제2),3,V43251201,상업정보교과교육론,3,3,김미정,금 4 5 6 (2315-1),,0.0
이중(제2),3,V43502101,상업정보논리및논술,2,2,김미정,금 7 8 (2315-1),,0.0
이중(제2),3,V43211201,수학교과교육론,3,3,박성호,수 1 2 3 (3310),,3.75
이중(제2),3,V43201201,외국어교과교육론,3,3,박국정,수 4 5 6 (2315-1),,4.22
이중(제2),3,V43203201,외국어교재연구및지도법,3,3,강희연,목 1 2 3 (2404-1),,5.0
이중(제2),3,V43501101,외국어논리및논술,2,2,강희연,목 5 6 (2404-1),,4.67
이중(제2),3,U51221201,철학교과교육론,3,3,이슬희,화 7 8 9 (4213),2~3주 이후 강의 시작,0.0
이중(제2),3,V43503101,철학논리및논술,2,2,이슬희,화 5 6 (4213),2~3주 이후 강의 시작,0.0
교직,2,V43254201,교육봉사활동,2,2,김사훈,월 1 2 (2404-1),,5.0
교직,2,E11301101,교육심리,2,2,박미연,화 3 4 (2407-1),,4.39
교직,2,E11202101,교육철학및교육사,2,2,김문숙,목 3 4 (2315-1),,4.09
교직,3,V43407301,교육과정,2,2,김사훈,월 3 4 (2404-1),,4.1
교직,3,E11304101,교육방법및교육공학,2,2,윤순경,목 5 6 (2315-1),,5.0
교직,3,E11315101,특수교육의이해,2,2,양현규,화 5 6 (2407-1),,4.64
교직,3,E11456101,학교폭력예방및학생의이해,2,2,조원기,수 5 6 (2402),,0.0
교직,4,E11453301,교육사회학,2,2,김문숙,목 7 8 (2315-1),,4.6
교직,4,E11311101,교직실무,2,2,조원기,수 7 8 (2402),,0.0
교직,4,E11401301,학교현장실습,2,2,김사훈,월 5 6 (2404-1),,5.0
이중(부)전공,2,G10003201,범죄와형벌I,3,3,손의태,목 1 2 3 (0401),,4.33
이중(부)전공,2,G10202101,사적거래의기초,3,3,박희호,월 4 5 6 (0512),,2.27
이중(부)전공,2,G10001101,인권의제도적보호,3,3,강현철,수 7 8 9 (0512),,0.0
이중(부)전공,3,G10308101,계약을통한거래,3,3,박진아,수 4 5 6 (2504),,5.0
이중(부)전공,3,G10309101,범죄와형사재판,3,3,채다은,수 1 2 3 (0301),,4.92
이중(부)전공,3,G10002201,행정과규범,3,3,최승필,화 4 5 6 (0310),,4.75
이중(부)전공,4,G10406101,경제로바라보는규범,3,3,정현아,금 1 2 3 (0512),,2.3
이중(부)전공,4,G10428101,법률영어,3,3,Marguerite Yunmie Kim,목 4 5 6 (0512),,4.25
전공,2,P01305301,금융시장론,3,3,백재승,화 1 2 3 (0301),"전필,국금 1전공",3.21
전공,2,P01305302,금융시장론,3,3,나찬휘,화 4 5 6 (2213),"전필,국금 1전공,이중(부)전공",4.53
전공,2,D02207601,미시경제학,3,3,민윤지,수 1 2 3 (4403),,3.86
전공,2,D01311601,재무관리,3,3,이용웅,화 1 2 3 (4411),"전필,국금 1전공,이중(부)전공",4.15
전공,2,D01311602,재무관리,3,3,이용웅,목 7 8 9 (4411),"전필,국금 1전공",4.15
전공,2,P01452401,재무회계,3,3,정균태,수 7 8 9 (4403),강사 미배정,0.0
전공,3,P01314101,글로벌금융과무역특강,3,3,백재승,화 7 8 9 (0102),,4.77
전공,3,P01310101,금융프로그래밍,3,3,권태연,목 7 8 9 (4405),,4.3
전공,3,D01405601,마케팅관리,3,3,서여주,화 7 8 9 (4214),강사 미배정으로 인해 수강정정기간 신청,0.0
전공,3,P01364301,무역경영,3,3,신진호,월 4 5 6 (4219),"국금 1전공,이중(부)전공",0.0
전공,3,P01364302,무역경영,3,3,장은갑,금 4 5 6 (4219),국금 1전공,4.4
전공,3,P01403101,보험의이해,3,3,박홍민,월 1 2 3 (4219),국금 1전공,4.21
전공,3,P01403102,보험의이해,3,3,이천영,목 1 2 3 (4411),"국금 1전공,이중(부)전공",5.0
전공,3,P01317101,화폐금융론,3,3,김용식,월 4 5 6 (4411),,4.33
전공,4,P01416101,고급비즈니스어낼리틱스실습,3,3,권태연,수 7 8 9 (4405),,0.0
전공,4,P01406101,대체투자론,3,3,조용구,금 7 8 9 (4215),,0.0
전공,4,P01204401,무역영어,3,3,장은갑,금 7 8 9 (4219),,3.36
전공,4,P01413101,세법개론,3,3,정균태,수 4 5 6 (4219),,0.0
전공,4,P01401301,외환시장의이해,3,3,서재웅,목 1 2 3 (4219),국금 1전공,4.31
전공,4,P01401302,외환시장의이해,3,3,서재웅,목 4 5 6 (4219),"국금 1전공,이중(부)전공",4.31
전공,1,N08130301,고대그리스와고전학입문,2,2,김혜진(H),화 1 2 (1312),전필,4.5
전공,1,N08131301,그리스언어와문화콘텐츠,2,2,김혜진(P),월 5 6 (2307),,4.5
전공,1,N08116301,불가리아학입문,2,2,이하얀,목 1 2 (1507-1),전필,4.0
전공,1,N08107201,초급그리스어문법(1),2,2,김혜진(P),월 7 8 (2307),"전필,원어",0.0
전공,1,N08103401,초급그리스어회화(1),3,3,한이슬,목 1 2 3 (1501),"전필,원어",0.0
전공,1,N08111401,초급불가리아어(1),3,3,채유정,금 4 5 6 (1312),전필,5.0
전공,1,N08134201,초급불가리아어텍스트이해(1),2,2,Spas Angelov Rangelov,목 3 4 (1409-2),"전필,원어",0.0
전공,1,N08109401,초급불가리아어회화(1),3,3,Atanasova Lyudmila Atanasova,화 4 5 6 (1403),"전필,원어",0.0
전공,1,N08127401,한국과유럽문화비교답사(종합설계),1,1,오혜라,목 10 (0515),,0.0
전공,2,N08227301,고대그리스역사,2,2,최자영,화 3 4 (1312),전필,0.0
전공,2,N08242201,멀티미디어불가리아어,2,2,Spas Angelov Rangelov,수 1 2 (1308),원어,0.0
전공,2,N08355501,불가리아와북마케도니아,2,2,Spas Angelov Rangelov,수 7 8 (1308),원어,0.0
전공,2,N08203301,중급그리스어문법과강독(1),3,3,김혜진(P),수 1 2 3 (2404),전필,5.0
전공,2,N08209401,중급그리스어작문과회화(1),3,3,CHARATSIDOU ELLADA,월 1 2 3 (1501),"전필,원어",0.0
전공,2,N08211301,중급불가리아어(1),3,3,채유정,수 5 6 (1303),전필,4.0
전공,2,N08219401,중급불가리아어회화(1),3,3,Atanasova Lyudmila Atanasova,월 1 2 3 (1409-2),"전필,원어",0.0
전공,2,N08222301,현대그리스의산업과경제(종합설계),2,2,한이슬,금 1 2 (1501),,2.0
전공,3,N07339501,고대그리스로마시각문화연구,2,2,김혜진(H),금 5 6 (1501),,5.0
전공,3,N08225401,그리스로마신화연구,2,2,최자영,화 7 8 (1312),,0.0
전공,3,N08439301,불가리아와유럽연합,2,2,이하얀,목 7 8 (1313),,1.0
전공,3,N08232301,불가리아인을위한한국문화교육론,2,2,채유정,금 1 2 (1312),,4.0
전공,3,N08307401,비즈니스와사회생활을위한그리스어실습1,2,2,한이슬,목 5 6 (1501),원어,0.0
전공,3,N08301501,인공지능을활용한고급그리스어통번역연습1,2,2,한이슬,금 3 4 (1501),,0.0
전공,3,N08361301,테마별중급불가리아어(1),2,2,Spas Angelov Rangelov,목 1 2 (1409-2),원어,0.0
전공,3,N08366201,흑해지역사회문화연구,2,2,BEREJIANI OTAR,화 7 8 (1403),원어,5.0
전공,4,N08405401,FLEX그리스어1,3,3,김혜진(P),수 4 5 6 (2307),,4.0
전공,4,N08331401,FLEX불가리아어(1),2,2,Atanasova Lyudmila Atanasova,금 1 2 (1409-2),원어,0.0
전공,4,N08427401,불가리아무역실습(종합설계)(1),2,2,채유정,금 7 8 (1312),,0.0
전공,4,N08411401,슬라브문학명장면,2,2,Atanasova Lyudmila Atanasova,금 3 4 (1409-2),원어,0.0
전공,2,S01417301,글로벌e스포츠산업론,3,3,서형석,화 4 5 6 (1511),"전필,서형석, 류윤지 팀티칭 진행",5.0
전공,3,S01332101,글로벌e스포츠컨텐츠기획및실습,3,3,류윤지,화 7 8 9 (1511),"류윤지, 서형석 팀티칭 진행",0.0
전공,4,S01331201,글로벌e스포츠시설관리론,3,3,서형석,수 1 2 3 (0412),전필,5.0
전공,4,S01421101,글로벌e스포츠프랙티스실습2,3,3,서형석,수 4 5 6 (5406),,0.0
전공,2,S01305501,스포츠ESG파트너십,3,3,이승필,수 4 5 6 (0301),"전필,스포츠비즈니스스폰서십실무(2학기 수업) 대체 가능",0.0
전공,2,S01311201,스포츠경영연구법,3,3,김남수,목 1 2 3 (2301),전필,0.0
전공,2,S01104501,스포츠마케팅실무실습,3,3,박성희,화 7 8 9 (0209),"전필,스포츠경영학개론 선수강자만 수강 가능",0.0
전공,3,S01129201,스포츠미디어기획및창착실습(캡스톤),3,3,이승구,월 4 5 6 (0212),"3,4학년 수강 권장, 1학년 수강 불가",3.71
전공,3,S01318201,스포츠방송저널리즘실습,3,3,이승구,월 7 8 9 (0212),"3,4학년 수강 권장, 1학년 수강 불가",5.0
전공,1,S01138201,글로벌스포츠프랙티스실습1,3,3,김남수,목 7 8 9 (0104),"전필,1전공생만 수강 가능, 1학년만 수강가능",0.0
전공,1,S01139201,글로벌스포츠프랙티스실습2,3,3,박성희,목 7 8 9 (0104),"전필,1전공생만 수강 가능, 1학년만 수강가능",0.0
전공,1,S01109201,스포츠경영학개론,4,4,박성희,수 1 2 3 토 4 (5206),"전필,원어,박성희, 김남수, 류윤지, Trolan 팀티칭 진행",3.29
전공,1,S01133201,스포츠데이터애널리틱스,3,3,이승필,화 1 2 3 (5207),"전필,이승필, 박성희, 류윤지 팀티칭 진행",0.0
전공,1,S01117301,초급스포츠산업전공영어실습,2,2,Eoin Joseph Trolan,월 7 8 (0517),"전필,원어",0.0
전공,2,S01219301,고급스포츠산업전공영어실습,2,2,Eoin Joseph Trolan,월 5 6 (1511),"전필,원어",0.0
전공,2,S01202201,글로벌스포츠프랙티스실습3,3,3,이승필,목 7 8 9 (0104),"전필,1전공생만 수강 가능, 1학년은 수강불가",0.0
전공,2,S01204201,글로벌스포츠프랙티스실습4,3,3,Eoin Joseph Trolan,목 7 8 9 (0104),"전필,1전공생만 수강 가능, 1학년은 수강불가",0.0
전공,3,S01222401,스포츠비즈니스영어프리젠테이션실습1,2,2,Eoin Joseph Trolan,월 1 2 (1511),"전필,원어",0.0
전공,3,S01317501,스포츠이벤트기획및실습(캡스톤디자인),4,4,김남수,목 5 6 토 1 2 (0517),"전필,원어,김남수, 박성희, 이승필, 류윤지 팀티칭 진행",0.0
전공,4,S01407401,스포츠경영인턴십1,1,1,박성희,금 1 (0515),"전필,이중전공생 전공 필수",0.0
전공,4,S01419201,스포츠비즈니스컨설팅과스타트업실습,3,3,박성희,목 10 11 토 3 (0405),"박성희, 김남수, 류윤지 팀티칭 진행",0.0
